"Month","Sales ($million)","Log sales","Annual change in log sales","Doubly differenced log sales"
1994 Feb,3.84127758,1.34580501439122,0.107182411296296,0.0236574770510274
1994 Mar,4.39407557,1.48025717226696,0.152570458736782,0.045388047440486
1994 Apr,4.07534073,1.40495435792124,0.0873931966487529,-0.0651772620880293
1994 May,4.5406449,1.51306905042348,0.150709116139433,0.0633159194906803
1994 Jun,4.64561508,1.53592378115275,0.137284152400904,-0.0134249637385289
1994 Jul,4.75260653,1.55869321069997,0.0964648356558997,-0.0408193167450046
1994 Aug,5.35060467,1.67720957695127,0.159408000158947,0.0629431645030469
1994 Sep,5.20445484,1.64951495882939,0.121577376050442,-0.0378306241085049
1994 Oct,5.3016513,1.66801833806919,0.127319481478817,0.00574210542837572
1994 Nov,5.77374216,1.75332042489209,0.125288173671978,-0.00203130780683902
1994 Dec,6.20459348,1.82528990160304,-0.146004216819277,-0.271292390491255
1995 Jan,6.74948382,1.90946603084926,0.00267202852877513,0.148676245348052
1995 Feb,4.21606735,1.43890278596915,0.093097771577926,0.0904257430491509
1995 Mar,4.94934946,1.59925614572172,0.118998973454758,0.0259012018768319
1995 Apr,4.8230449,1.57340545060187,0.168451092680631,0.0494521192258732
1995 May,5.19475419,1.6476493067811,0.134580256357618,-0.0338708363230136
1995 Jun,5.17078711,1.64302492258011,0.107101141427365,-0.027479114930252
1995 Jul,5.25674157,1.65951136141267,0.1008181507127,-0.00628299071466576
1995 Aug,5.85527729,1.76734335545003,0.0901337784987621,-0.0106843722139376
1995 Sep,5.49072901,1.70306103541254,0.0535460765831495,-0.0365877019156127
1995 Oct,6.11529323,1.81079272056508,0.142774382495888,0.0892283059127388
1995 Nov,6.08847284,1.80639728508612,0.0530768601940368,-0.0896975223018515
1995 Dec,7.41659792,2.0037204506877,0.178430549084654,0.125353688890617
1996 Jan,8.32945212,2.11979768210692,0.210331651257658,0.0319011021730038
1996 Feb,5.06979585,1.62330055052019,0.184397764551045,-0.0259338867066132
1996 Mar,5.26255667,1.6606169675966,0.0613608218748793,-0.123036942676165
1996 Apr,5.59712628,1.72225330174153,0.148847851139667,0.087487029264788
1996 May,6.110296,1.80997521718192,0.162325910400827,0.0134780592611596
1996 Jun,5.68916084,1.73856275747292,0.095537834892808,-0.066788075508019
1996 Jul,6.48684933,1.86977694750827,0.2102655860956,0.114727751202792
1996 Aug,6.30056933,1.84063999915565,0.0732966437056186,-0.136968942389982
1996 Sep,6.46747574,1.866785884008,0.163724848595466,0.090428204889847
1996 Oct,6.82862939,1.92112397848139,0.110331257916306,-0.0533935906791598
1996 Nov,6.64907826,1.89447823754206,0.0880809524559316,-0.0222503054603742
1996 Dec,8.60693721,2.15256853041591,0.148848079728213,0.0607671272722818
1997 Jan,8.52447101,2.1429409696314,0.0231432875244755,-0.125704792203738
1997 Feb,5.27791837,1.66353177187589,0.0402312213556983,0.0170879338312229
1997 Mar,5.71430345,1.74297240880381,0.0823554412072074,0.042124219851509
1997 Apr,6.21452908,1.82688995057135,0.104636648829818,0.0222812076226109
1997 May,6.41192919,1.85816019133012,0.0481849741481972,-0.056451674681621
1997 Jun,6.66771564,1.8972773185083,0.158714561035376,0.110529586887178
1997 Jul,7.05083102,1.95314548505475,0.083368537546475,-0.0753460234889005
1997 Aug,6.70491861,1.90284137795751,0.0622013788018576,-0.0211671587446174
1997 Sep,7.25098761,1.98113768165817,0.114351797650161,0.0521504188483033
1997 Oct,7.81973318,2.05665043377051,0.135526455289121,0.0211746576389604
1997 Nov,7.39810106,2.00122335376573,0.106745116223673,-0.0287813390654481
1997 Dec,10.09623339,2.31216242260773,0.159593892191821,0.0528487759681482
1998 Jan,8.79851303,2.17458273334283,0.0316417637114363,-0.127952128480385
1998 Feb,5.91826076,1.77804261519048,0.114510843314586,0.0828690796031495
1998 Mar,6.53449298,1.87709475875642,0.134122349952613,0.0196115066380274
1998 Apr,6.67573561,1.89847940195964,0.071589451388292,-0.0625328985643212
1998 May,7.06420058,1.95503985757577,0.0968796662456533,0.0252902148573613
1998 Jun,7.38338118,1.99923168816321,0.101954369654913,0.0050747034092602
1998 Jul,7.81349587,2.05585247829874,0.102706993243987,0.000752623589073576
1998 Aug,7.43189221,2.00578049790798,0.102939119950469,0.000232126706481983
1998 Sep,8.27511722,2.11325308672171,0.132115405063543,0.0291762851130739
1998 Oct,8.26044138,2.11147802194059,0.0548275881700855,-0.0772878168934574
1998 Nov,8.59615575,2.15131509750863,0.150091743742898,0.0952641555728122
1998 Dec,10.55893902,2.3569728016396,0.0448103790318664,-0.105281364711031
1999 Jan,10.3914156,2.3409800422212,0.166397308878367,0.121586929846501
1999 Feb,6.42153456,1.8596571171766,0.0816145019861247,-0.0847828068922425
1999 Mar,8.06261937,2.08723848759368,0.210143728837265,0.12852922685114
1999 Apr,7.2977391,1.98756458785481,0.0890851858951651,-0.1210585429421
1999 May,7.93691594,2.07152477914929,0.116484921573516,0.0273997356783511
1999 Jun,8.16532298,2.0998962822843,0.100664594121087,-0.0158203274524296
1999 Jul,8.71742046,2.16532337535053,0.109470897051798,0.0088063029307115
1999 Aug,9.07096378,2.20507851868029,0.199298020772311,0.089827123720513
1999 Sep,9.17711337,2.21671270747093,0.103459620749224,-0.0958384000230867
1999 Oct,9.25188674,2.22482750261679,0.113349480676193,0.009889859926969
1999 Nov,9.93313643,2.29587628216356,0.144561184654933,0.0312117039787392
1999 Dec,11.53297428,2.44521026111906,0.0882374594794588,-0.0563237251754738
2000 Jan,12.51146235,2.5266452121316,0.185665169910405,0.0974277104309458
2000 Feb,7.45719853,2.00917981151422,0.149522694337621,-0.0361424755727839
2000 Mar,8.59119084,2.15073735735402,0.0634988697603345,-0.0860238245772862
2000 Apr,8.47400037,2.13700269586734,0.149438108012526,0.0859392382521911
2000 May,9.3868026,2.23930472405097,0.167779944901676,0.0183418368891504
2000 Jun,9.56039945,2.25762950966321,0.15773322737891,-0.0100467175227656
2000 Jul,10.8342948,2.3827165474987,0.217393172148162,0.0596599447692516
2000 Aug,10.64375083,2.36497294340889,0.159894424728607,-0.057498747419555
2000 Sep,9.90816186,2.29335884778758,0.0766461403166483,-0.0832482844119586
2000 Oct,11.7100413,2.46044670450349,0.235619201886704,0.158973061570056
2000 Nov,11.34015074,2.42834959098022,0.132473308816658,-0.103145893070046
2000 Dec,12.07913184,2.4914793223744,0.0462690612553471,-0.086204247561311
2001 Jan,14.49758109,2.67398181413098,0.14733660199938,0.101067540744033
2001 Feb,8.04927477,2.08558199668883,0.0764021851746088,-0.070934416824771
2001 Mar,10.31289116,2.33339468160812,0.182657324254097,0.106255139079488
2001 Apr,9.75335821,2.27761165750161,0.140608961634278,-0.0420483626198194
2001 May,10.85038183,2.38420027107232,0.144895547021358,0.00428658538707971
2001 Jun,9.96171916,2.29874966312743,0.0411201534642265,-0.103775393557131
2001 Jul,11.44360144,2.43743074759782,0.0547142000991219,0.0135940466348954
2001 Aug,11.65923889,2.45609890349165,0.0911259600827559,0.036411759983634
2001 Sep,10.64705979,2.36528377798309,0.0719249301955052,-0.0192010298872507
2001 Oct,12.65213444,2.53782593137493,0.0773792268714408,0.00545429667593567
2001 Nov,13.67446631,2.61553032085544,0.187180729875224,0.109801503003784
2001 Dec,12.96573509,2.56231011541652,0.0708307930421173,-0.116349936833107
2002 Jan,16.30026927,2.79118162730817,0.117199813177187,0.0463690201350695
2002 Feb,9.05348536,2.20314980622307,0.117567809534242,0.000367996357055311
2002 Mar,10.00244879,2.30282994201608,-0.0305647395920392,-0.148132549126281
2002 Apr,10.78875007,2.37850393103997,0.100892273538357,0.131457013130396
2002 May,12.10670515,2.49375944374936,0.109559172677034,0.00866689913867713
2002 Jun,10.95410107,2.39371391308544,0.0949642499580068,-0.0145949227190272
2002 Jul,12.84456587,2.55292083240409,0.115490084806268,0.0205258348482609
2002 Aug,12.19649985,2.50114901303525,0.0450501095436051,-0.0704399752626625
2002 Sep,12.85474787,2.5537132271455,0.188429449162414,0.143379339618809
2002 Oct,13.54200436,2.60579628902471,0.0679703576497745,-0.120459091512639
2002 Nov,13.28764,2.58683427983081,-0.0286960410246309,-0.0966663986744054
2002 Dec,15.13491784,2.71700451398191,0.154694398565387,0.183390439590017
2003 Jan,16.82834968,2.82306494516534,0.0318833178571687,-0.122811080708218
2003 Feb,9.80021461,2.28240428441634,0.0792544781932643,0.0473711603360956
2003 Mar,10.81699371,2.38111838915589,0.0782884471398102,-0.000966031053454053
2003 Apr,10.65422256,2.36595629808326,-0.0125476329567067,-0.0908360800965169
2003 May,12.51232269,2.52671397391156,0.0329545301622058,0.0455021631189125
2003 Jun,12.16120969,2.49825135267563,0.104537439590191,0.0715829094279847
2003 Jul,12.9980462,2.56479905385882,0.0118782214547379,-0.0926592181354526
2003 Aug,12.51727568,2.5271097445501,0.0259607315148496,0.0140825100601116
2003 Sep,13.26865761,2.58540468346827,0.0316914563227684,0.00573072480791881
2003 Oct,14.73362169,2.69013207194348,0.0843357829187688,0.0526443265960004
2003 Nov,13.66938174,2.61515842220758,0.0283241423767664,-0.0560116405420024
2003 Dec,16.50396561,2.8036006920295,0.0865961780475959,0.0582720356708295
2004 Jan,18.00376795,2.89058106654514,0.0675161213797968,-0.0190800566677991
2004 Feb,11.93802987,2.47972909183748,0.197324807421142,0.129808686041345
2004 Mar,12.9979001,2.56478781364481,0.183669424488919,-0.0136553829322232
2004 Apr,12.88264507,2.55588106216984,0.189924764086576,0.00625533959765745
2004 May,13.94344681,2.63500963517028,0.108295661258721,-0.0816291028278555
2004 Jun,13.9894722,2.63830506101789,0.140053708342259,0.0317580470835379
2004 Jul,15.33909742,2.73040495587691,0.165605902018083,0.0255521936758245
2004 Aug,15.37076394,2.73246725963349,0.205357515083384,0.0397516130653006
2004 Sep,16.142005,2.78142488065309,0.196020197184825,-0.00933731789855896
2004 Oct,16.685754,2.81455530147297,0.124423229529491,-0.0715969676553341
2004 Nov,17.636728,2.86998354584536,0.254825123637784,0.130401894108293
2004 Dec,18.869325,2.93753758767548,0.133936895645972,-0.120888227991812
2005 Jan,20.778723,3.03392953046225,0.143348463917111,0.00941156827113909
2005 Feb,12.154552,2.49770374982845,0.0179746579909734,-0.125373805926138
2005 Mar,13.402392,2.59543319848899,0.0306453848441848,0.0126707268532114
2005 Apr,14.459239,2.67133358740658,0.115452525236738,0.0848071403925532
2005 May,14.795102,2.69429618004943,0.0592865448791442,-0.0561659803575938
2005 Jun,15.705248,2.75399492401525,0.115689862997356,0.0564033181182118
2005 Jul,15.82955,2.76187844645159,0.0314734905746867,-0.0842163724226692
2005 Aug,17.554701,2.86532177729078,0.132854517657296,0.101381027082609
2005 Sep,18.100864,2.89595967193914,0.114534791286047,-0.0183197263712485
2005 Oct,17.496668,2.86201046280109,0.0474551613281204,-0.0670796299579268
2005 Nov,19.347265,2.96255106581658,0.092567519971221,0.0451123586431006
2005 Dec,20.031291,2.99729560092072,0.0597580132452449,-0.0328095067259762
2006 Jan,23.486694,3.15643404802517,0.122504517562925,0.0627465043176803
2006 Feb,12.536987,2.52868323520267,0.0309794853742109,-0.0915250321887142
2006 Mar,15.467018,2.73870988582335,0.143276687334357,0.112297201960146
2006 Apr,14.233539,2.65560108111079,-0.0157325062957918,-0.159009193630149
2006 May,17.783058,2.87824620629813,0.183950026248698,0.19968253254449
2006 Jun,16.291602,2.79064976032008,0.0366548363048329,-0.147295189943865
2006 Jul,16.980282,2.83205278851915,0.0701743420675514,0.0335195057627184
2006 Aug,18.612189,2.92381668866972,0.0584949113789377,-0.0116794306886137
2006 Sep,16.623343,2.81080791240168,-0.0851517595374571,-0.143646670916395
2006 Oct,21.430241,3.06480305533919,0.202792592538102,0.287944352075559
2006 Nov,23.575517,3.16020875828967,0.197657692473084,-0.00513490006501804
2006 Dec,23.334206,3.14992035268189,0.152624751761166,-0.0450329407119185
2007 Jan,28.038383,3.33357439288586,0.177140344860686,0.0245155930995207
2007 Feb,16.763869,2.81922591566818,0.290542680465514,0.113402335604828
2007 Mar,19.792754,2.98531591112498,0.246606025301628,-0.0439366551638862
2007 Apr,16.427305,2.79894488938006,0.143343808269277,-0.103262217032351
2007 May,21.000742,3.04455777043255,0.166311564134422,0.0229677558651447
2007 Jun,20.681002,3.02921550107766,0.238565740757577,0.0722541766231557
2007 Jul,21.83489,3.08350914914146,0.251456360622314,0.0128906198647369
2007 Aug,23.93020353,3.17514140710768,0.25132471843796,-0.000131642184354241
2007 Sep,22.93035694,3.13246166325542,0.321653750853733,0.0703290324157728
2007 Oct,23.26333992,3.14687872749603,0.0820756721568405,-0.239578078696892
2007 Nov,25.25003022,3.22882735255234,0.0686185942626691,-0.0134570778941714
2007 Dec,25.80609,3.25061051058461,0.100690157902719,0.0320715636400495
2008 Jan,29.665356,3.38997990031279,0.056405507426935,-0.0442846504757837
2008 Feb,21.654285,3.07520335634269,0.255977440674508,0.199571933247573
2008 Mar,18.264945,2.90498364901906,-0.080332262105915,-0.336309702780423
2008 Apr,23.107677,3.14016489997816,0.341220010598094,0.421552272704009
2008 May,22.91251,3.13168304960872,0.0871252791761692,-0.254094731421925
2008 Jun,19.43174,2.96690781161859,-0.0623076894590646,-0.149432968635234
